"Countries","Adult_Literacy","Internet_Users","GDP_Per_Capita","Immunization_DPT_Children","Prevalence_HIV","Population_Growth_Annual","Infant_Mortality_Rate","School_Enrollment","High_Tech_EXP","Unemployment_Female","Urban_Population_Total"
"Ireland",NA,"83.4917223351728","55412.9285967265","96","0.2","0.731001376585771","3.2","101.54224","23.3374397615134","9.37600040435791","37.66"
"Iran, Islamic Rep.","84.70524","39.35","5540.98413566175","99","0.1","1.25215631871941","14.3","108.85324",NA,"19.6900005340576","27.17"
"Iraq",NA,"13.21","6703.07473722928","64",NA,"3.2604067585994","27.4",NA,NA,"12.3229999542236","30.242"
"Iceland",NA,"98.16","52855.1404780181","90",NA,"1.11250475522796","1.8","98.18361","16.93751222458","4.78900003433228","6.333"
"Israel",NA,"75.0177531628076","37539.9518166878","95",NA,"1.91954379859591","3.2","104.03085","16.0127869868902","5.91599988937378","7.896"
"Italy",NA,"55.6384602242293","35396.6657242265","95","0.2","0.917504095962437","3","101.59541","7.23986317104997","13.8039999008179","30.728"
"Jamaica","88.0999999999999","40.4027351046672","4839.89210430559","92","1.8","0.35982505421381","14.3",NA,"0.55690547874512","18.2329998016357","45.416"
"Jordan",NA,"46.2","4066.94077543088","98",NA,"4.59753829372987","16",NA,"1.5523906394129","20.8250007629395","10"
"Japan",NA,"89.1068330166075","38109.4121125573","96","0.1","-0.132694222147042","2.1","99.5385299999999","16.6888237188804","3.35599994659424","8.696"
"Kazakhstan",NA,"66","12807.2606866152","95","0.2","1.47267674313494","11.8","111.52415","37.1724729759537","5.95100021362305","42.882"
"Kenya","78.73304","16.5","1335.1231484276","92","5.2","2.6361163551476","36.3","108.10709",NA,"15.4659996032715","74.779"
"Kyrgyz Republic",NA,"28.3","1279.76978265986","96","0.2","2.0061078993716","20.9","108.49125",NA,"9.50699996948242","64.365"
"Cambodia","78.05509","14","1093.7620674767","91","0.6","1.63799953482268","28.9","116.83348","0.500457678208109","0.165000006556511","78.201"
"Kiribati",NA,"12.25","1626.89387190322","75",NA,"1.75626565996421","45.9","113.12002","2.68877781402193",NA,"49.227"
"St. Kitts and Nevis",NA,"68","17061.3029555747","97",NA,"1.06634751599625","11.7",NA,"27.5727796135162",NA,"69.115"
"Korea, Rep.",NA,"87.5568264944747","27811.36638377","99",NA,"0.628149861433639","3.1","97.04419","26.880549785293","3.48900008201599","18.293"
"Kuwait",NA,"78.7","42996.3152212942","95","0.1","4.98868141274667","7.8","103.38667","0.129891795978651","5.15899991989136","0"
"Latin America & Caribbean (excluding high income)","92.70338","46.8178402918231","9736.74026333593","87.6715881294938","0.515805747389616","1.14150372235942","16.5105624973879","109.39751","12.2162511834556","7.23821204433226","21.5187792447397"
"Lao PDR",NA,"14.26","2017.58778126205","88","0.3","1.25225854939908","53","118.86858","24.9449222410019","0.60699999332428","67.513"
"Lebanon",NA,"73","8660.03692753065","79","0.1","6.01643946001496","7.4","94.31361","2.06916531374849","10.6099996566772","12.053"
"Liberia",NA,"5.41","716.052908657476","50","1.6","2.40753043252977","61.2","95.86035",NA,"2.29200005531311","50.603"
"Libya",NA,"17.76","6631.52904725951","94",NA,"0.131257257710439","11.8",NA,NA,"27.1159992218018","20.991"
"St. Lucia",NA,"39.7","8596.35169828401","99",NA,"0.432287561716184","15.8",NA,"5.18362047820194","25.5389995574951","81.518"
"Latin America & Caribbean","92.87993","48.6168531054745","10278.2408909878","88.2706025071067","0.513403028317184","1.10768163490471","15.9","108.96343","11.2034296839035","7.33310715469247","20.3652072815457"
"Least developed countries: UN classification","61.68538","10.3984046242636","1038.05231148119","78.1050283877126","2.02048472618713","2.42281224269784","51.5235292995891","102.45594",NA,"6.27448294729228","68.530694820341"
"Low income","59.2793","8.97929345670781","834.779256676144","74.8095565580591","2.95985418307211","2.57296303687404","53.1","101.56225",NA,"6.37043301546889","68.7980512504305"
"Liechtenstein",NA,"95.21","179308.075615568",NA,NA,"0.79231360522745",NA,"102.66099",NA,NA,"85.687"
"Sri Lanka",NA,"25.8","3820.54064998739","99","0.1","0.899512787210326","8.5","101.24334","0.907765064565764","7.30200004577637","81.782"
"Lower middle income","75.36975","22.6011122052895","2063.06391209794","79.4396311354163","0.624114661398133","1.48665733577604","40.9","103.92902","11.3528909967043","5.10049040441842","61.4512996225624"
"Low & middle income","82.96363","32.0608779868218","4658.30337991434","83.0726304794767","1.13037884492191","1.31639020909684","35.1624357223075","103.07711","17.8521363299366","5.44285260702631","52.1303866778211"
"Lesotho","76.6352","22","1218.46610643407","93","23.5","1.33349508542395","70.9","106.324",NA,"27.4009990692139","73.498"
"Late-demographic dividend","95.55239","50.9098012062194","8807.09026716713","97.3607789951961",NA,"0.619958002091465","11.1652375716144","102.06338","19.162275056113","4.75322494825703","41.0621363145431"
"Lithuania",NA,"72.13","16545.1226673996","93","0.1","-0.859827343070249","4","101.57557","10.1357504689213","9.22500038146973","32.892"
"Luxembourg",NA,"94.67","119225.380022773","99","0.2","2.35697870484045","2.2","97.11412","5.70360125769017","5.76599979400635","10.116"
"Latvia",NA,"75.83","15716.3690672011","92",NA,"-0.941743354234222","4.7","99.8206","15.0458088923087","9.83699989318848","32.048"
"Macao SAR, China",NA,"69.78","94004.3898288491",NA,NA,"2.22227169495604",NA,"100.89144","0.163745252402179","1.4559999704361","0"
"St. Martin (French part)",NA,NA,NA,NA,NA,"0.847219769659737",NA,NA,NA,NA,NA
"Morocco",NA,"56.8","3154.51348420947","99","0.1","1.44790425119677","22.9","109.67567","5.3138369362681","10.1800003051758","39.744"
"Monaco",NA,"92.4","185152.527227439","99",NA,"0.423111415291069","2.9",NA,NA,NA,"0"
"Moldova",NA,"67","2244.75530830835","90","0.5","-0.0609701011007674","14","93.06422","4.8067740842113","3.10400009155273","57.504"
"Madagascar",NA,"3.7","452.463192574895","73","0.2","2.70109745083855","36.1","145.24914","0.571462588123651","1.23599994182587","65.466"
